Story Points,Epic Size,Story Cycle Time (Bus. Days),Story Lead Time (Bus. Days),Epic Cycle Time (Bus. Days),Epic Lead Time (Bus. Days),Feature Cycle Time (Bus. Days),Feature Lead Time (Bus. Days),Theme Cycle Time (Bus. Days),Theme Lead Time (Bus. Days),To Do,Data analysis,Ready for Dev,In Progress,In Dev,In Test,Test Failed,In Review,Blocked,Ready for Test,Story Done
8,8,7,10,39,44,214,219,219,223,4,0,0,7,0,0,0,0,0,0,37
2,25,4,19,49,60,214,219,219,223,16,0,0,2,0,0,0,0,0,0,28
4,17,3,19,50,69,214,219,219,223,17,0,0,1,0,0,0,0,0,0,28
4,17,3,19,50,69,214,219,219,223,17,0,0,2,0,0,0,0,0,0,28
2,5,8,9,22,35,214,219,219,223,2,0,0,7,0,0,0,0,0,0,38
5,5,10,13,22,35,214,219,219,223,2,0,0,9,0,0,0,0,0,0,36
4,17,9,20,50,69,214,219,219,223,14,0,0,2,0,0,0,0,0,0,17
2,17,1,4,50,69,214,219,219,223,4,0,0,1,0,0,0,0,0,0,35
2,17,1,20,50,69,214,219,219,223,21,0,0,1,0,0,0,0,0,0,17
0.5,17,6,30,50,69,214,219,219,223,23,0,0,1,0,0,0,0,0,0,11
0.5,25,12,35,49,60,214,219,219,223,23,0,0,2,0,0,0,0,0,0,6
0.5,25,6,35,49,60,214,219,219,223,28,0,0,1,0,0,0,0,0,0,6
0.5,25,11,35,49,60,214,219,219,223,23,0,0,3,0,0,0,0,0,0,6
0.5,25,6,35,49,60,214,219,219,223,28,0,0,1,0,0,0,0,0,0,6
0.5,25,11,35,49,60,214,219,219,223,23,0,0,1,0,0,0,0,0,0,6
0.5,25,11,35,49,60,214,219,219,223,23,0,0,3,0,0,0,0,0,0,6
0.5,25,8,35,49,60,214,219,219,223,26,0,0,1,0,0,0,0,0,0,6
0,25,1,20,49,60,214,219,219,223,22,0,0,1,0,0,0,0,0,0,17
0.5,25,8,35,49,60,214,219,219,223,26,0,0,1,0,0,0,0,0,0,6
0.5,25,8,35,49,60,214,219,219,223,13.5,0,0,1,0,0,0,1.5,0,0,6
0.5,25,8,35,49,60,214,219,219,223,26,0,0,2,0,0,0,0,0,0,6
