Key,Cost of Delay,Resolved Name,Story Points,Created Date,First In Progress Date,Last Resolved Date,Cycle Time (Bus. Days),Lead Time (Bus. Days),Epic Name
KEY-292,Standard,Released,0,2019-01-15T12:35:01,2019-01-17T12:22:01,2019-02-07T13:04:01,16,16,Improve hiring strategy
KEY-293,Standard,Released,0,2019-01-15T12:36:01,2019-03-18T10:34:01,2019-03-18T10:34:01,1,44,Improve hiring strategy
KEY-294,Standard,Released,0,2019-01-15T12:38:01,2019-03-18T10:34:01,2019-03-18T10:34:01,1,44,Improve hiring strategy
KEY-295,Standard,Released,0,2019-01-15T12:40:01,2019-03-18T10:34:01,2019-03-18T10:35:01,1,44,Improve hiring strategy
KEY-296,Standard,Won't Do,0,2019-01-15T12:44:01,2019-01-22T08:22:01,2019-02-07T12:51:01,13,16,Improve hiring strategy
KEY-297,Standard,Rejected,0,2019-01-15T12:45:01,2019-03-18T10:35:01,2019-03-18T10:35:01,1,44,Address product quality issues
KEY-298,Standard,Rejected,0,2019-01-15T13:02:01,2019-03-18T10:35:01,2019-03-18T10:35:01,1,44,Address product quality issues
KEY-299,Fixed Date,Released,0,2019-01-15T13:13:01,2019-03-18T10:35:01,2019-03-18T10:35:01,1,44,Address product quality issues
KEY-300,Standard,Released,0,2019-01-15T13:14:01,2019-03-18T10:35:01,2019-03-18T10:35:01,1,44,Improve hiring strategy
KEY-301,Standard,Released,5,2019-01-15T16:43:01,2019-02-14T15:01:01,2019-02-20T17:23:01,5,27,Improve hiring strategy
KEY-302,Standard,Released,5,2019-01-15T16:48:01,2019-01-16T09:55:01,2019-01-17T08:55:01,1,2,Improve hiring strategy
KEY-303,Standard,Released,5,2019-01-15T16:50:01,2019-01-16T14:42:01,2019-02-20T14:58:01,26,26,Improve hiring strategy
KEY-304,Standard,Released,5,2019-01-15T17:00:01,2019-01-16T14:42:01,2019-02-20T14:59:01,26,26,Rebrand struggling product
KEY-306,Standard,Released,0,2019-01-16T14:05:01,2019-01-16T14:42:01,2019-01-23T09:51:01,5,5,Rebrand struggling product
KEY-309,Standard,Released,3,2019-01-21T16:33:01,2019-02-15T09:47:01,2019-02-15T09:49:01,1,17,Rebrand struggling product
KEY-316,Standard,Released,5,2019-01-23T10:25:01,2019-02-20T14:56:01,2019-02-20T14:57:01,1,21,Rebrand struggling product
KEY-318,Standard,Released,0,2019-01-24T13:51:01,2019-02-25T16:57:01,2019-02-25T16:57:01,1,25,Prevent employee attrition
KEY-324,Standard,Released,0,2019-01-29T17:32:01,2019-02-01T13:42:01,2019-02-13T16:03:01,9,11,Rebrand struggling product
KEY-325,Standard,Released,0,2019-01-30T08:09:01,2019-02-26T11:23:01,2019-02-26T11:24:01,1,20,Sunset old product
KEY-328,Standard,Released,0,2019-01-30T08:18:01,2019-03-19T11:24:01,2019-04-01T13:02:01,10,44,Sunset old product
KEY-33,Expedite,Rejected,0,2018-10-04T13:33:01,2018-10-05T10:47:01,2018-10-05T10:48:01,1,1,Move to new office space
KEY-332,Standard,Released,0,2019-01-30T08:46:01,2019-02-26T11:32:01,2019-02-26T11:32:01,1,20,Sunset old product
KEY-333,Standard,Released,2,2019-01-30T08:58:01,2019-04-23T15:18:01,2019-04-24T10:00:01,1,61,Sunset old product
KEY-334,Standard,Won't Do,0,2019-01-30T09:14:01,2019-02-26T11:31:01,2019-02-26T11:31:01,1,20,Sunset old product
KEY-335,Standard,Released,0,2019-01-30T16:35:01,2019-03-25T09:43:01,2019-05-27T14:13:01,46,85,Prevent employee attrition
KEY-336,Standard,Released,0,2019-01-31T15:05:01,2019-01-31T15:06:01,2019-02-19T11:17:01,13,13,Improve hiring strategy
KEY-337,Standard,Released,0,2019-02-01T14:37:01,2019-02-13T13:01:01,2019-05-27T19:08:01,74,84,Prevent employee attrition
KEY-338,Standard,Released,0,2019-02-04T11:05:01,2019-02-25T17:08:01,2019-02-25T17:08:01,1,16,Prevent employee attrition
KEY-339,Standard,Won't Do,0,2019-02-04T11:06:01,2019-02-25T17:08:01,2019-02-25T17:08:01,1,16,Prevent employee attrition
KEY-34,Expedite,Rejected,0,2018-10-04T13:34:01,2018-10-05T10:48:01,2018-10-05T10:48:01,1,1,Address product quality issues
KEY-340,Standard,Released,0,2019-02-04T11:06:01,2019-02-25T17:07:01,2019-02-25T17:07:01,1,16,Prevent employee attrition
KEY-341,Standard,Released,0,2019-02-04T11:09:01,2019-02-25T17:07:01,2019-02-25T17:07:01,1,16,Prevent employee attrition
KEY-342,Standard,Released,0,2019-02-04T11:18:01,2019-03-29T16:00:01,2019-03-29T16:00:01,1,38,Increase web checkout security
KEY-345,Fixed Date,Released,0,2019-02-07T13:25:01,2019-02-07T13:28:01,2019-03-04T10:58:01,17,19,Improve hiring strategy
KEY-346,Standard,Released,0,2019-02-07T13:29:01,2019-03-22T09:37:01,2019-03-22T09:37:01,1,31,Improve hiring strategy
KEY-347,Standard,Released,0,2019-02-07T13:30:01,2019-02-07T13:31:01,2019-02-28T09:33:01,15,15,Improve hiring strategy
KEY-349,Standard,Released,0,2019-02-07T16:04:01,2019-02-07T16:10:01,2019-03-22T09:38:01,31,31,Improve hiring strategy
KEY-35,Expedite,Rejected,0,2018-10-04T13:34:01,2018-10-05T10:49:01,2018-10-05T10:50:01,1,1,Address product quality issues
KEY-350,Standard,Released,0,2019-02-08T09:16:01,2019-04-01T16:23:01,2019-05-15T12:52:01,32,69,Increase web checkout security
KEY-352,Fixed Date,Released,0,2019-02-08T13:11:01,2019-05-27T19:36:01,2019-05-27T19:36:01,1,79,Prevent employee attrition
